"Channel 1_x","Channel 1_y"
4.997817039,29,
5.009444714,29,
5.021270037,28,
5.032771111,29,
5.039357901,29,
5.050854921,29,
5.062342882,28,
5.068436861,29,
5.081007004,29,
5.08701992,29,
5.100255013,29,
5.109369993,28,
5.117880106,29,
5.132232904,29,
5.138621807,28,
5.149879932,28,
5.157536983,29,
5.167171001,29,
5.173352003,28,
5.183483839,29,
5.191061974,29,
5.199928045,29,
5.20589304,29,
5.216911793,29,
5.223479986,29,
5.23404479,29,
5.244091988,29,
5.251023054,28,
5.263725996,29,
5.269735813,28,
5.281486034,28,
5.287855864,28,
5.299004793,29,
5.305299997,29,
5.316374063,29,
5.33437109,28,
5.345518112,29,
5.359122992,28,
5.381646156,29,
5.393162966,28,
5.404767036,29,
5.41610074,28,
5.425541878,29,
5.433871746,28,
5.439531088,31,
5.450373888,29,
5.456763983,29,
5.467319012,29,
5.474828959,28,
5.484164,29,
5.490069866,29,
5.500655174,29,
5.508713961,29,
5.517484903,29,
5.524976969,29,
5.533036947,28,
5.538634062,29,
5.549655914,29,
5.567337036,29,
5.578352928,29,
5.595589876,29,
5.61458683,29,
5.626203775,29,
5.637720108,28,
5.649233818,28,
5.655745029,29,
5.667205095,29,
5.674901009,29,
5.684365034,29,
5.697376966,29,
5.703320026,29,
5.715623856,29,
5.722142935,28,
5.733438969,29,
5.742266893,29,
5.750733137,29,
5.756755829,29,
5.766810894,29,
5.773948908,29,
5.78392601,29,
5.790992975,29,
5.79983902,29,
5.807061911,29,
5.816590071,29,
5.82326293,29,
5.833638906,29,
5.841112137,29,
5.850539923,29,
5.856246948,28,
5.866618156,29,
5.874217033,29,
5.883188963,29,
5.891016006,29,
5.899651051,30,
5.905379057,28,
5.916383028,29,
5.92415905,29,
5.932729006,29,
5.939082861,29,
5.950294018,29,
5.957966089,29,
5.967051029,29,
5.972602129,28,
5.983453989,29,
5.990984917,29,
5.999862909,29,
6.005221844,29,
6.016321898,29,
6.022481918,29,
6.033861876,29,
6.040829897,28,
6.049987078,29,
6.056375027,29,
6.066790819,29,
6.073607922,29,
6.083690882,29,
6.090918779,29,
6.100858927,28,
6.109725952,28,
6.117041826,29,
6.122637987,29,
6.133594751,29,
6.142495871,29,
6.15068388,28,
6.156613111,29,
6.167176008,29,
6.175709009,29,
6.184879065,29,
6.197668076,29,
6.203919172,29,
6.215637922,29,
6.221948862,29,
6.232890129,29,
6.239180088,28,
6.250306129,29,
6.257034063,29,
6.267323971,29,
6.274394035,29,
6.283276081,29,
6.29071784,29,
6.299856901,29,
6.306374788,28,
6.317683935,29,
6.330646038,29,
6.337219954,29,
6.34861207,29,
6.354885101,29,
6.366122007,29,
6.372513056,29,
6.383748055,28,
6.390552044,29,
6.400490046,29,
6.408024073,29,
6.416474819,29,
6.424080849,29,
6.43402791,29,
6.443706036,29,
6.450316906,28,
6.455994844,29,
6.466331959,29,
6.473360777,29,
6.483130932,29,
6.490204811,29,
6.499835968,29,
6.507801056,29,
6.516326904,28,
6.522622824,29,
6.534930944,29,
6.54763484,29,
6.555357933,29,
6.566543818,29,
6.575958014,29,
6.584072828,29,
6.596298933,28,
6.604662895,29,
6.616833925,29,
6.629067898,29,
6.637336969,29,
6.649554968,29,
6.658147097,29,
6.670072079,29,
6.68185091,29,
6.690680027,29,
6.699553013,29,
6.711173058,29,
6.723393917,29,
6.733070135,29,
6.750442028,29,
6.761466742,29,
6.777094841,29,
6.796692848,29,
6.807880878,29,
6.819575071,29,
6.831924915,29,
6.838696957,29,
6.850044966,28,
6.857964039,28,
6.866791964,29,
6.872771025,29,
6.883900881,29,
6.892252922,29,
6.90044117,29,
6.905905962,29,
6.917109013,28,
6.924365997,29,
6.934072018,29,
6.940563917,29,
6.95264411,29,
6.964951992,29,
6.973156929,29,
6.983596087,29,
6.993831873,29,
7.001862764,28,
7.014853001,29,
7.026546955,29,
7.034600973,29,
7.047811985,29,
7.055077791,29,
7.067373991,29,
7.077832937,29,
7.087869883,28,
7.099085093,29,
7.108500957,29,
7.120594978,29,
7.131911993,29,
7.141227007,29,
7.150516033,29,
7.161626816,29,
7.169795036,28,
7.182028055,29,
7.190461874,29,
7.20271492,29,
7.216015816,28,
7.223034143,29,
7.235258818,29,
7.24804616,29,
7.255753994,28,
7.266791821,29,
7.276442766,28,
7.284642935,29,
7.297562122,29,
7.304949999,29,
7.317195892,29,
7.329483032,29,
7.33773303,29,
7.350013971,29,
7.358314991,29,
7.370594025,29,
7.381987095,29,
7.391132832,29,
7.399644852,29,
7.411527872,29,
7.423826933,29,
7.434255123,29,
7.444409132,29,
7.452400923,29,
7.464851856,29,
7.472901821,29,
7.485111952,29,
7.497750044,29,
7.505586863,29,
7.516563892,29,
7.5263412,29,
7.538392067,29,
7.54974699,29,
7.559037924,29,
7.567054033,29,
7.579314947,29,
7.587564945,29,
7.599804878,29,
7.608170033,29,
7.620305777,29,
7.632563829,29,
7.64111495,29,
7.653007746,29,
7.66482091,29,
7.673793077,29,
7.683642149,29,
7.694157124,29,
7.702208042,29,
7.714741945,28,
7.726922035,28,
7.735002756,29,
7.748017788,28,
7.755519867,30,
7.767775059,29,
7.780572891,29,
7.788242817,29,
7.799954891,29,
7.808852911,29,
7.820956945,28,
7.832102776,29,
7.841645002,29,
7.8500669,29,
7.861945152,29,
7.870162964,29,
7.882415771,29,
7.890848875,28,
